step,total_loss,learning_rate,beats_features,whisper_features
827,2.212890625,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/07rgkc5', '/m/07pjwq1']", Human is the head that's mancing in the world.
828,1.3623046875,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/07rgkc5', '/m/07pjwq1']", Human is the head that's mancing in the world.
829,1.76953125,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/07rgkc5', '/m/07pjwq1']", Human is the head that's mancing in the world.
830,2.09375,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/07rgkc5', '/m/07pjwq1']", Human is the head that's mancing in the world.
831,1.85546875,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/07rgkc5', '/m/07pjwq1']", Human is the head that's mancing in the world.
832,2.00390625,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/07rgkc5', '/m/07pjwq1']"," You don't have to hate, it's matching in the world."
833,1.630859375,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/07rgkc5', '/m/07pjwq1']"," You don't have to hate, it's dancing in the world."
834,1.7744140625,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/07rgkc5', '/m/07pjwq1']"," Human, it's the head that's mancing in the wall."
835,1.755859375,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/07rgkc5', '/m/07pjwq1']", Human is the head that's mounting in the wall.
836,1.498046875,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/07rgkc5', '/m/07pjwq1']", Human is the head that's mounting in the wall.
837,1.611328125,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/07rgkc5', '/m/07pjwq1']", Human is the head that's mounting in the wall.
838,1.6953125,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/07rgkc5', '/m/07pjwq1']", Human is the head that's mounting in the wall.
839,1.734375,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/07rgkc5', '/m/07pjwq1']"," Human, it's the hay that's mounting in the wall."
840,1.7783203125,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/07rgkc5', '/m/07pjwq1']"," Human, it's the hay that's mounting in the wall."
841,1.802734375,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/07rgkc5', '/m/07pjwq1']"," Human, it's the hay that's mounting in the wall."
842,1.5107421875,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/07rgkc5', '/m/07pjwq1']", Even in the heat it's mounting in the wall.
843,1.6162109375,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/07rgkc5', '/m/07pjwq1']"," Human, it's the hay that's mounting in the wall."
844,1.8251953125,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/07rgkc5', '/m/07pjwq1']"," Human, it's the hay that's mounting in the wall."
